BenefitID,UsageCostDelta
1,-33.13708336384394
2,-21.80857815965793
3,-6.686927403987124
4,-4.065056647962209
5,-0.3628708504356576
6,-16.909932341314708
7,-9.68538997437534
8,-0.7966440514213874
9,-31.77052822613697
10,-37.49651193854683
11,-38.01862637307664
12,-32.31122359962177
13,-0.32715308026289325
14,-0.07370029485478238
15,-6.659244619114348
16,-0.06590945046746047
17,-17.929613707248173
18,-26.730386614911858
19,-4.522058365589978
20,-12.298039158586228
21,-0.8663562342069208
22,-17.59144377013551
23,-39.785451671330385
24,-28.01000071574656
25,-27.20206590925204
26,-14.966402257827319
27,-36.78952865518461
28,-1.1790824582689758
29,-10.728573523558047
30,-27.66299333371663
