EmployeeID,BenefitID,SatisfactionScore,Comments,neg,neu,pos,compound,Sentiment
970,19,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
3655,20,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
2540,3,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
4863,25,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
3304,3,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
3719,1,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
3495,25,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
403,18,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
2122,25,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
1681,30,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
1982,28,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
1240,30,1,Not worth the hassle.,0.357,0.643,0.0,-0.1695,neutral
1560,21,3,"Average, but necessary.",0.0,1.0,0.0,0.0,neutral
3586,28,1,Disappointing service.,0.762,0.238,0.0,-0.4939,negative
3629,3,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
4609,24,1,Membership is not very useful.,0.396,0.604,0.0,-0.3865,negative
3381,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
165,22,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
1157,11,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
4331,21,2,Coverage is minimal.,0.0,1.0,0.0,0.0,neutral
4120,17,4,Good plan with decent returns.,0.0,0.58,0.42,0.4404,positive
2479,2,3,"Satisfactory, but could improve.",0.0,0.263,0.737,0.6808,positive
1348,13,2,Not much flexibility offered.,0.404,0.596,0.0,-0.2584,negative
2619,16,2,Not happy with the coverage options.,0.375,0.625,0.0,-0.4585,negative
1701,7,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
3992,1,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
4899,24,5,Fantastic benefit! I use it daily.,0.0,0.303,0.697,0.784,positive
2961,8,1,Barely any time off given.,0.0,1.0,0.0,0.0,neutral
2353,29,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
1855,17,2,Returns are not as expected.,0.0,1.0,0.0,0.0,neutral
1418,24,2,Not many locations available.,0.0,1.0,0.0,0.0,neutral
4441,29,3,Average amount of vacation days.,0.0,1.0,0.0,0.0,neutral
566,19,3,"It's okay, I use it occasionally.",0.0,0.678,0.322,0.2263,positive
4371,12,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
2865,16,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
301,28,4,"Solid plan, happy with it.",0.0,0.361,0.639,0.6486,positive
2926,10,1,Difficult to find suitable care.,0.287,0.345,0.368,0.1779,neutral
1675,13,4,"Very flexible, I appreciate it.",0.0,0.279,0.721,0.6335,positive
2804,9,1,Inconvenient and inefficient.,0.545,0.455,0.0,-0.34,negative
2666,30,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
4563,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
3991,8,4,Sufficient time off provided.,0.0,1.0,0.0,0.0,neutral
3577,21,5,Great peace of mind for my family.,0.0,0.397,0.603,0.8225,positive
3859,18,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4611,20,2,Complicated reimbursement process.,0.0,1.0,0.0,0.0,neutral
1757,9,3,"Good, but sometimes difficult.",0.451,0.278,0.271,-0.3182,negative
2624,11,5,Excellent coverage and affordable.,0.0,0.448,0.552,0.5719,positive
1773,10,4,Good quality care available.,0.0,0.247,0.753,0.7269,positive
2137,17,1,Unhappy with this benefit.,0.359,0.256,0.385,0.0516,neutral
4206,24,4,"Good value, I enjoy the variety.",0.0,0.19,0.81,0.8176,positive
